"","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","E1","E2","E3","F1","F2","F3","G1","G2","G3","H1","H2","H3","I1","I2","I3"
"AATBC",4.3599969023414,3.77650280221743,3.95182860610614,4.59132002493004,4.07964998994832,4.02084666158687,4.17099003096802,4.03225028597592,3.98854327160252,4.09710597456485,3.98452432860533,4.13736945818914,4.1437536426501,4.07157356075622,4.48318124793708,3.99886424966783,4.37408314392849,4.19884906629104,4.31249419741217,4.04953371573872,4.53372001461145,4.13373879491253,4.21519121290398,4.26992947387606,4.22851452451093,4.23907965276184
"ABCC10",7.14720587359389,7.33210074409685,7.25974880347364,7.34896868666962,7.11788690244223,7.35263796991037,7.0926253478369,7.18591909435089,7.3744085565787,7.06076566936852,6.97728823170826,7.07237405611453,7.15729799924562,7.30254949764676,7.07656824654101,7.34798809834451,7.3349534484762,7.43810024794747,7.47061770618319,7.36867698961588,7.52835199498722,7.6393251854595,7.50376536378436,7.80296885939141,8.07023371620306,7.90244214530613
"ABT1",7.89200567293318,7.50140810988133,7.93992275448572,7.78299705668433,7.97494921939462,7.83217570364445,7.86243543047207,7.98548020263961,7.94844250515316,7.79146501818845,8.02613737361147,7.97522306007072,8.02251529052185,8.02920565559977,7.85568982897283,7.7286990307212,7.82946761022717,7.80996386032899,8.02578179230391,7.71563573171841,7.89518620058388,7.8880646910486,7.84377111798927,7.89555823537697,7.95596627602807,7.76034594951442
"ACACA",9.05535173503707,8.81442223110703,8.85756462724269,8.61955167865397,8.77936959576521,8.5687236743452,8.85270901966718,8.87617619495941,8.94474922662168,8.87189307059369,8.90332557246379,8.73234442391711,8.96260971947043,8.97912016275965,8.7728356641831,8.69034775760366,8.89945520232091,8.39468569549406,8.30329700678828,8.03004673778671,8.23123100375756,8.64576916743922,8.20149724978156,8.56287093489867,8.57172492530887,8.78144628275303
"ACADM",9.82584111183109,10.1040872760518,9.84443653920154,9.84050635689192,9.87304484463821,10.4329681440739,9.8733976820851,9.94201285927369,10.3738628973043,10.0554206247439,9.80710814235118,9.7708047289853,9.4181323439455,10.2214354549772,9.56571335613801,9.61155507562106,10.1456473729028,9.57143378291016,9.57820853907027,10.053288874067,9.27449096111489,9.50395615641633,10.0749753149158,9.6013997576459,9.58571708514916,9.87873849740422
"ACIN1",7.65155207089159,7.58305367271327,7.9332434640723,7.78974033482193,7.75231485046295,7.19606807621791,7.91864545422832,7.89258739823676,7.58399576400265,7.64486442616193,7.74680658419101,7.75016589254904,8.02713784251253,7.61601586440847,7.48192686609709,8.05455977077891,7.66754489056305,7.90797661718726,8.14284543186728,7.9522126218968,7.88996832667996,8.16411909532701,7.64361401852137,7.71873626205101,7.81037683252835,7.77099158788882
"ACTR3-AS1",4.27882714799535,4.25508694720762,4.03917250523544,4.13670287582835,4.33519001219826,4.32307775422478,4.23618748523354,4.08707741495207,4.09959332956988,4.16715633868038,4.01052428824886,3.94569118204731,4.14680916034729,4.21235363013703,4.63400839220008,4.19866434674512,4.36205490726163,4.42612307805563,4.5805040866107,4.3311142432189,4.29970682282356,4.30921914383544,4.18089545496793,4.45826301612878,4.54709624676826,4.75319301615327
"ADCY6",7.8078640564351,8.28814317309565,8.14839806803416,8.0095950994079,8.1797343491128,8.1825899538694,8.15686680451032,8.20986498521323,7.9180955071151,8.04923346656346,7.81001506865331,7.70999147192031,7.97224232539142,7.90335965716992,7.79902502265062,7.80146357393795,7.66636785773192,7.92331778886127,7.62738454109307,7.96149041380338,7.6753378438418,7.85694642380154,7.8256289946139,8.01978108204852,7.84515883584229,7.62917785032337
"ADI1",8.6523755426542,8.73383000010093,8.68340843118602,8.60885865393149,8.69957190850115,8.91443295668253,8.69765217872473,8.62799244266261,8.77341804007077,8.63537769001416,8.56447666058119,8.37571813476539,8.49859276416725,8.83468274145928,7.98882884984668,7.86788255257743,8.32065665506112,7.42842020282267,7.3918901322168,7.60054665633862,7.18523578881794,7.53727088724502,7.6108681150316,7.84271396632458,7.81980886255541,7.94866363800433
"ADPRHL1",6.93343532122636,6.71358224416954,6.6738918177199,7.00740056324118,6.84898063488643,6.63204547875627,6.76599403339056,6.72292479268126,6.66795460069799,6.6498133864249,6.62449657125798,6.54085637980613,6.55206226256192,6.59444629707153,6.52762098287412,6.49521945977751,6.65735356663542,6.39730249708302,6.5073255085552,6.38160847718865,6.60915173170062,6.48837285770545,6.59642113813171,6.49790857057534,6.5519013957478,6.42792449295809
